#timestamp tx ty tz qx qy qz  qw
3.178524533499999903e+06 -4.882819984823664750e-01 2.077795158035236900e-01 1.278308119114015096e+00 -2.880497408321335169e-03 6.045363908555542211e-03 2.685256825552598814e-01 1.963093848346131542e+00
3.228603035999999847e+06 -4.872570381656812222e-01 2.076631271850275240e-01 1.278488431140997639e+00 -2.911122907590142726e-03 6.010552781098862409e-03 2.685229837818923770e-01 1.963093596007656982e+00
3.278667361499999650e+06 -4.863649541302881851e-01 2.077190035775057786e-01 1.278662104346983908e+00 -2.939576750520949376e-03 5.976224681505731655e-03 2.685364149996279370e-01 1.963093378537495548e+00
3.328672820000000298e+06 -4.855967438919263079e-01 2.079303159927718136e-01 1.278829201822312411e+00 -2.965918925734152643e-03 5.942315240856047009e-03 2.685648929088205183e-01 1.963093193039632478e+00
3.378627339499999769e+06 -4.849434049663344237e-01 2.082802354426389890e-01 1.278989786657321881e+00 -2.990209421850147879e-03 5.908760090229703797e-03 2.686073342098243555e-01 1.963093036618053677e+00
3.428589959999999963e+06 -4.843959348692514766e-01 2.087519329389206924e-01 1.279143921942351270e+00 -3.012508227489332172e-03 5.875494860706600812e-03 2.686626556029934609e-01 1.963092906376744828e+00
3.478578015000000130e+06 -4.839453311164162996e-01 2.093285794934302557e-01 1.279291670767738864e+00 -3.032875331272101745e-03 5.842455183366632512e-03 2.687297737886819027e-01 1.963092799419691392e+00
3.528608775499999989e+06 -4.835825912235678370e-01 2.099933461179810945e-01 1.279433096223823840e+00 -3.051370721818853250e-03 5.809576689289697692e-03 2.688076054672438597e-01 1.963092712850879051e+00
3.578657873500000220e+06 -4.832987127064449773e-01 2.107294038243865686e-01 1.279568261400944484e+00 -3.068054387749983344e-03 5.776795009555692542e-03 2.688950673390333446e-01 1.963092643774293489e+00
3.628655542999999598e+06 -4.830846930807866091e-01 2.115199236244600378e-01 1.279697229389439750e+00 -3.082986317685887812e-03 5.744045775244513256e-03 2.689910761044044807e-01 1.963092589293920609e+00
3.678614835000000428e+06 -4.829315298623316211e-01 2.123480765300148898e-01 1.279820063279648368e+00 -3.096226500246963310e-03 5.711264617436056894e-03 2.690945484637113916e-01 1.963092546513745651e+00
3.728567802000000142e+06 -4.828302205668188463e-01 2.131970335528644567e-01 1.279936826161908847e+00 -3.107834924053606493e-03 5.678387167210220514e-03 2.692044011173080897e-01 1.963092512537754297e+00
3.778548277499999851e+06 -4.827717627099872844e-01 2.140499657048221538e-01 1.280047581126560141e+00 -3.117871577726214014e-03 5.645349055646900309e-03 2.693195507655487542e-01 1.963092484469932675e+00
3.828552863000000361e+06 -4.827471538075757684e-01 2.148900439977013133e-01 1.280152391263940537e+00 -3.126396449885181662e-03 5.612085913825994206e-03 2.694389141087873973e-01 1.963092459414265800e+00
3.878586180999999866e+06 -4.827473913753232426e-01 2.157004394433153505e-01 1.280251319664389209e+00 -3.133469529150906523e-03 5.578533372827397530e-03 2.695614078473781983e-01 1.963092434474739800e+00
3.928615639500000048e+06 -4.827634729289568272e-01 2.164643230534725182e-01 1.280344429418214247e+00 -3.139150804143709794e-03 5.544627063730878103e-03 2.696859486816687856e-01 1.963092406755293062e+00
3.978617206499999855e+06 -4.816155924466486993e-01 2.171970803664582950e-01 1.280579632974493842e+00 -3.145620091285779730e-03 5.432214053904407293e-03 2.698798589864646602e-01 1.963092228216320567e+00
4.028587998999999836e+06 -4.831692374220691866e-01 2.176754936006294605e-01 1.280629398156134524e+00 -3.140765139973184742e-03 5.478777804215636572e-03 2.700140434845264004e-01 1.963092267277931624e+00
4.078554720500000287e+06 -4.808858663650812382e-01 2.181633387471501317e-01 1.280870566686003187e+00 -3.153339459240175197e-03 5.294321897667732951e-03 2.701688626961037398e-01 1.963092052125231746e+00
4.128539415500000119e+06 -4.830991147391596741e-01 2.181304238533895434e-01 1.280855155387174538e+00 -3.156530835559889780e-03 5.407765148084610687e-03 2.702550435238415538e-01 1.963092011381728508e+00
4.178551251000000164e+06 -4.807665237320440377e-01 2.181522063902351094e-01 1.280909036580912153e+00 -3.154952723894917030e-03 5.229585502078823098e-03 2.703570997138260434e-01 1.963091792282524173e+00
4.228570783999999985e+06 -4.831423368313299549e-01 2.175951847714677756e-01 1.280833905991102473e+00 -3.130717950007477508e-03 5.368740923886104223e-03 2.703895453038961394e-01 1.963091794957746661e+00
4.278589854999999516e+06 -4.810136734678545634e-01 2.173545941536469683e-01 1.280868879491585455e+00 -3.113236532959646596e-03 5.227914534853071726e-03 2.704446837964244454e-01 1.963091681222157270e+00
4.328591313500000164e+06 -4.835207516626259805e-01 2.167201907850011544e-01 1.280751908295143293e+00 -3.094798894608811243e-03 5.404056018138492408e-03 2.704165445445627647e-01 1.963091845307427752e+00
4.378576109500000253e+06 -4.812751147124929574e-01 2.165813204745706266e-01 1.280738372641623268e+00 -3.087501562140109942e-03 5.244897777873890402e-03 2.704400297195409530e-01 1.963091694455627145e+00
