#timestamp tx ty tz qx qy qz  qw
4.995600000000000000e+04 -2.421496623405562376e-01 9.769641650057266091e-02 1.110661047288734160e+00 1.435017950822144346e-02 9.577595817831265068e-02 -1.693200024815253724e-01 -1.000264031185921221e+00
9.991300000000000000e+04 -2.222751932941815500e-01 7.283654011129533923e-02 1.127198433870431948e+00 1.914508682985513466e-02 9.271734569019637884e-02 -1.699664982329563423e-01 -1.000104097179672635e+00
1.498690000000000000e+05 -2.051171246642578827e-01 5.161889793596800835e-02 1.141038779697949090e+00 2.304352073456135755e-02 9.016622915741125122e-02 -1.704017384343780028e-01 -9.999776651697420693e-01
1.998270000000000000e+05 -1.904920345835329487e-01 3.380055637741921637e-02 1.152380207478665985e+00 2.611413835277483220e-02 8.808441551163512240e-02 -1.706367777723398760e-01 -9.998818535227989024e-01
2.497840000000000000e+05 -1.782165011847544056e-01 1.913858183847751138e-02 1.161420839919963477e+00 2.842559681493027346e-02 8.643371168454586084e-02 -1.706826709333914560e-01 -9.998137806055127363e-01
2.997410000000000000e+05 -1.681071026006699387e-01 7.390040721971399829e-03 1.168358799729222186e+00 3.004655325146239619e-02 8.517592460782139052e-02 -1.705504726040822372e-01 -9.997705647845526178e-01
3.496980000000000000e+05 -1.599804169640271778e-01 -1.688000569270514672e-03 1.173392209613822290e+00 3.104566479280590485e-02 8.427286121313953826e-02 -1.702512374709617138e-01 -9.997493244265882595e-01
3.996550000000000000e+05 -1.536530224075738360e-01 -8.338475632419753425e-03 1.176719192281144410e+00 3.149158856939552470e-02 8.368632843217821415e-02 -1.697960202205793523e-01 -9.997471778982889301e-01
4.496120000000000000e+05 -1.489414970640575708e-01 -1.280431806464772670e-02 1.178537870438569390e+00 3.145298171166596712e-02 8.337813319661527278e-02 -1.691958755394846747e-01 -9.997612435663240094e-01
4.995690000000000000e+05 -1.456624190662260676e-01 -1.532846146312592805e-02 1.179046366793477407e+00 3.099850135005195045e-02 8.331008243812861036e-02 -1.684618581142271476e-01 -9.997886397973628769e-01
