#timestamp tx ty tz qx qy qz  qw
3.346281167999999598e+06 -4.188897339533974584e-01 2.534602239750678443e-01 1.207930712462721878e+00 2.390080935501294815e-02 7.909018296175567009e-02 -1.479495776267869545e-01 1.372036424267268108e-02
3.396222131499999668e+06 -4.366926994673113738e-01 2.686129467551103267e-01 1.199625383844487692e+00 2.855547406256946780e-02 6.520067080497782275e-02 -1.466890948300252628e-01 1.364672454951705756e-02
3.446238970000000205e+06 -4.501110626529796765e-01 2.831986110546377278e-01 1.191740242832374896e+00 3.225731346851491710e-02 5.374446279588939585e-02 -1.458777177531626612e-01 1.357902093487843055e-02
3.496338195000000298e+06 -4.594560141990878810e-01 2.971588149223651776e-01 1.184265188330824392e+00 3.507372129465124999e-02 4.455875394276720414e-02 -1.454776177584338193e-01 1.351711692881999230e-02
3.546435695500000380e+06 -4.650387447943217789e-01 3.104351564070075842e-01 1.177190119244276190e+00 3.707209126278042388e-02 3.748073925388806932e-02 -1.454509662080733512e-01 1.346087606140493158e-02
3.596441415500000119e+06 -4.671704451273669956e-01 3.229692335572800777e-01 1.170504934477170744e+00 3.831981709470438230e-02 3.234761373752879227e-02 -1.457599344643159822e-01 1.341016186269644236e-02
3.646377810000000056e+06 -4.661623058869092673e-01 3.347026444218976771e-01 1.164199532933948733e+00 3.888429251222508265e-02 2.899657240196620855e-02 -1.463666938893963265e-01 1.336483786275771343e-02
3.696296111999999732e+06 -4.623255177616342193e-01 3.455769870495752905e-01 1.158263813519049945e+00 3.883291123714448234e-02 2.726481025547709824e-02 -1.472334158455490538e-01 1.332476759165193876e-02
3.746209996500000358e+06 -4.559712714402274769e-01 3.555338594890281589e-01 1.152687675136915502e+00 3.823306699126452490e-02 2.698952230633830385e-02 -1.483222716950088338e-01 1.328981457944230365e-02
3.796148917499999981e+06 -4.474107576113748319e-01 3.645148597889710795e-01 1.147461016691985192e+00 3.715215349638717468e-02 2.800790356282661236e-02 -1.495954328000103362e-01 1.325984235619200383e-02
