#timestamp tx ty tz qx qy qz  qw
3.261198489499999676e+06 -9.892913282065188829e-01 1.988022281922023682e+00 1.076004719123228037e+00 8.094843409200955242e-02 -1.183385302676794731e-01 5.692919300836125629e-01 1.883261765834385315e-01
3.311088641000000294e+06 -9.743707837236932345e-01 1.975523629735216780e+00 1.074952671043310160e+00 7.981574992733646290e-02 -1.169049897840975377e-01 5.680599569307834829e-01 1.883094930156745117e-01
3.360916285999999847e+06 -9.616829003699504108e-01 1.963893094784485260e+00 1.074337355243051517e+00 7.879226585323952092e-02 -1.156221507006209015e-01 5.668514116728775587e-01 1.882941659388968902e-01
3.410886718499999493e+06 -9.511492357314120794e-01 1.953127713206419536e+00 1.074121745115151683e+00 7.787363043450190592e-02 -1.144857191574684269e-01 5.656724440012896871e-01 1.882801620034750267e-01
3.461058442499999888e+06 -9.426913473941997967e-01 1.943224521137610017e+00 1.074268814052310672e+00 7.705549223590679730e-02 -1.134914012948590178e-01 5.645292036074152087e-01 1.882674478597782808e-01
3.511283943500000052e+06 -9.362307929444353416e-01 1.934180554714646894e+00 1.074741535447228502e+00 7.633349982223741614e-02 -1.126349032530115507e-01 5.634278401826489091e-01 1.882559901581759565e-01
3.561375248499999754e+06 -9.316891299682401595e-01 1.925992850074120577e+00 1.075502882692604967e+00 7.570330175827691410e-02 -1.119119311721449017e-01 5.623745034183860181e-01 1.882457555490374135e-01
3.611280216000000015e+06 -9.289879160517361401e-01 1.918658443352621479e+00 1.076515829181140083e+00 7.516054660880848448e-02 -1.113181911924779610e-01 5.613753430060216543e-01 1.882367106827320113e-01
3.661108904499999713e+06 -9.280487087810447289e-01 1.912174370686740010e+00 1.077743348305533866e+00 7.470088293861533446e-02 -1.108493894542295910e-01 5.604365086369508253e-01 1.882288222096291097e-01
3.711023995000000112e+06 -9.287930657422875935e-01 1.906537668213066139e+00 1.079148413458485889e+00 7.431995931248062959e-02 -1.105012320976186818e-01 5.595641500025686499e-01 1.882220567800980404e-01
3.761064544999999925e+06 -9.311425445215864016e-01 1.901745372068190498e+00 1.080693998032696390e+00 7.401342429518757704e-02 -1.102694252628641236e-01 5.587644167942701356e-01 1.882163810445081353e-01
3.811127608999999706e+06 -9.350187027050627098e-01 1.897794518388703500e+00 1.082343075420865164e+00 7.377692645151934236e-02 -1.101496750901847926e-01 5.580434587034505123e-01 1.882117616532287541e-01
3.861189058499999810e+06 -9.403430978788382966e-01 1.894682143311195333e+00 1.084058619015692226e+00 7.360611434625911886e-02 -1.101376877197995652e-01 5.574074254215046764e-01 1.882081652566292285e-01
3.911116192999999970e+06 -9.470372876290347186e-01 1.892405282972256186e+00 1.085803602209877372e+00 7.349663654419009984e-02 -1.102291692919273314e-01 5.568624666398278578e-01 1.882055585050789459e-01
3.960957450999999885e+06 -9.550228295417736435e-01 1.890960973508476695e+00 1.087540998396120617e+00 7.344414161009547859e-02 -1.104198259467869536e-01 5.564147320498150640e-01 1.882039080489472105e-01
4.010845897500000428e+06 -9.642212812031537572e-01 1.890346251056401750e+00 1.089233780967096443e+00 7.344427810875667206e-02 -1.107053638245947547e-01 5.560703713428480910e-01 1.882031805385989964e-01
4.060828961499999743e+06 -9.707546600131178316e-01 1.889398018361170051e+00 1.090245101695797247e+00 7.336237719948740521e-02 -1.110463389025401482e-01 5.558671917151822850e-01 1.882022614754916001e-01
4.110874823499999940e+06 -9.839099333930553248e-01 1.889045283513748785e+00 1.091288891438085829e+00 7.340938339173132265e-02 -1.113191630961032630e-01 5.559707882079133467e-01 1.882051630082840765e-01
