#timestamp tx ty tz qx qy qz  qw
1.643096699109416008e+09 2.158142569148892420e+01 -1.646027644187494587e+01 -1.245977021785681700e+02 -8.493933715809677543e-03 -4.304718698315438373e-03 1.000023286418187718e+00 3.251519489431649312e-03
1.643096699142750025e+09 2.157475721659356083e+01 -1.646819531882740151e+01 -1.245977021785681700e+02 -4.856263948961533905e-03 -2.798471435074369185e-03 9.999848620405944466e-01 4.218961509864527573e-03
1.643096699176082850e+09 2.156879766907896823e+01 -1.647409042275414492e+01 -1.245977021785681558e+02 -1.699624093902250832e-03 -1.473594734680034636e-03 9.999545289582199015e-01 4.900765680082054543e-03
1.643096699209416866e+09 2.156347343751046708e+01 -1.647812056816542992e+01 -1.245977021785681558e+02 9.974629915509881928e-04 -3.261604148815057044e-04 9.999315655306523221e-01 5.323262418879025695e-03
1.643096699242749929e+09 2.155871091045338517e+01 -1.648044456957150672e+01 -1.245977021785681416e+02 3.256474449580999686e-03 6.477597065721448985e-04 9.999152501174799479e-01 5.512782145050238239e-03
1.643096699276082993e+09 2.155443647647304672e+01 -1.648122124148263268e+01 -1.245977021785681416e+02 5.098887422370598430e-03 1.452093811931846196e-03 9.999048610782910185e-01 5.495655277390490250e-03
1.643096699309417009e+09 2.155057652413477598e+01 -1.648060939840905803e+01 -1.245977021785681416e+02 6.546179052102600940e-03 2.090770083448527210e-03 9.998996767726736623e-01 5.298212234694578068e-03
1.643096699342749834e+09 2.154705744200389717e+01 -1.647876785486103657e+01 -1.245977021785681416e+02 7.619826480959823733e-03 2.567716703373113495e-03 9.998989755602161189e-01 4.946783435757298904e-03
1.643096699376082897e+09 2.154380561864573096e+01 -1.647585542534882208e+01 -1.245977021785681274e+02 8.341306851125086796e-03 2.886861853956537542e-03 9.999020358005066278e-01 4.467699299373448230e-03
1.643096699409415960e+09 2.154074744262560515e+01 -1.647203092438266836e+01 -1.245977021785681274e+02 8.732097304781201441e-03 3.052133717449724039e-03 9.999081358531333175e-01 3.887290244337826724e-03
1.643096699442749977e+09 2.153780930250884396e+01 -1.646745316647282564e+01 -1.245977021785681274e+02 8.813674984110984184e-03 3.067460476103603742e-03 9.999165540776845384e-01 3.231886689445228125e-03
1.643096699476083040e+09 2.153491758686076807e+01 -1.646228096612955127e+01 -1.245977021785681274e+02 8.607517031297255011e-03 2.936770312169103940e-03 9.999265688337483082e-01 2.527819053490449643e-03
1.643096699509416819e+09 2.153199868424670527e+01 -1.645667313786309549e+01 -1.245977021785681274e+02 8.135100588522826970e-03 2.663991407897152788e-03 9.999374584809129773e-01 1.801417755268291086e-03
1.643096699542749882e+09 2.152897898323197978e+01 -1.645078849618371564e+01 -1.245977021785681274e+02 7.417902797970509637e-03 2.253051945538676708e-03 9.999485013787667853e-01 1.079013213573546195e-03
1.643096699576082945e+09 2.152578487238191585e+01 -1.644478585560165840e+01 -1.245977021785681274e+02 6.477400801823129939e-03 1.707880107344611660e-03 9.999589758868977496e-01 3.869358472010126122e-04
1.643096699609416008e+09 2.152234274026132965e+01 -1.643882403062679387e+01 -1.245977021785652283e+02 5.335071742263364745e-03 1.032404075565837879e-03 9.999681603648707950e-01 -2.484839250545115333e-04
1.643096699642750025e+09 2.151641227023368330e+01 -1.643996705995098040e+01 -1.245977021785652283e+02 4.821516325095778072e-03 3.140070961813929188e-04 9.999767982160059354e-01 -5.518811802340901820e-04
1.643096699676082850e+09 2.151244767448184092e+01 -1.643179405482389299e+01 -1.245977021785652283e+02 3.982325181012183642e-03 -5.009005214092406314e-04 9.999840156354065090e-01 -9.095162911649942120e-04
1.643096699709416866e+09 2.150725180837118344e+01 -1.643311967351953484e+01 -1.245977021785652283e+02 2.437854459726746838e-03 -1.337491650423620893e-03 9.999872234133823090e-01 -6.160899906460042506e-04
1.643096699742749929e+09 2.150312749483980923e+01 -1.642569109457049592e+01 -1.245977021785652283e+02 3.061935903764443061e-04 -2.425736794838374323e-03 9.999799786939232993e-01 -3.844701136100482186e-04
1.643096699776082993e+09 2.149667976695865690e+01 -1.642897743912403641e+01 -1.245977021785652283e+02 -2.329824422598594878e-03 -3.736644130387998045e-03 9.999593737971887997e-01 5.842974405048289091e-04
1.643096699809417009e+09 2.149043626120636574e+01 -1.642334466178161279e+01 -1.245977021785652283e+02 -4.784239155247520595e-03 -5.422163136409858045e-03 9.999299478831360499e-01 1.465564965251659130e-03
1.643096699842749834e+09 2.148101023993757153e+01 -1.642770001856152717e+01 -1.245977021785652283e+02 -7.232284738876187079e-03 -7.236361709514437836e-03 9.998963271689067511e-01 2.798335801311537408e-03
1.643096699876082897e+09 2.147399687938377610e+01 -1.642284727895654584e+01 -1.245977021785652283e+02 -9.652321558432701287e-03 -9.118568408354479210e-03 9.998529733577778966e-01 3.638173535484845456e-03
1.643096699909415960e+09 2.146374014908366235e+01 -1.642716226699202409e+01 -1.245977021785652283e+02 -1.184872327198550380e-02 -1.105310280375012069e-02 9.998061849609920504e-01 4.702247102876324324e-03
1.643096699942749977e+09 2.145506174391822185e+01 -1.642229779940363343e+01 -1.245977021785652283e+02 -1.389159511290950430e-02 -1.294719823752286253e-02 9.997507762736520531e-01 5.174622033738710859e-03
1.643096699976083040e+09 2.144691103026946877e+01 -1.642645852507962090e+01 -1.245977021785652283e+02 -1.644595234327645220e-02 -1.457691247426780821e-02 9.996915762551425999e-01 5.851619684868442951e-03
1.643096700009416819e+09 2.144072041674086648e+01 -1.642258184869909243e+01 -1.245977021785652283e+02 -1.910255256392304896e-02 -1.615987567342248507e-02 9.996302578200343403e-01 6.032373626612077058e-03
1.643096700042749882e+09 2.143168515645658090e+01 -1.642681199001253134e+01 -1.245977021785652283e+02 -2.172042775991100613e-02 -1.760895726773103326e-02 9.995736479021009036e-01 6.473892435887267441e-03
1.643096700076082945e+09 2.142208656148685364e+01 -1.642024151335859017e+01 -1.245977021785652283e+02 -2.368060172397200291e-02 -1.934660789788449423e-02 9.995045745386967884e-01 6.317574616135563856e-03
1.643096700109416008e+09 2.141022206951471674e+01 -1.642117226065791158e+01 -1.245977021785652283e+02 -2.539291892657414076e-02 -2.108348671934955065e-02 9.994427871702898925e-01 6.279686312693634476e-03
1.643096700142750025e+09 2.139813646652454793e+01 -1.641164916898906867e+01 -1.245977021785652283e+02 -2.652756604895389544e-02 -2.300571314360704347e-02 9.993728506333596773e-01 5.494431203120379165e-03
1.643096700176082850e+09 2.138452413101949645e+01 -1.640913897984998826e+01 -1.245977021785652283e+02 -2.750075470712877446e-02 -2.467640359267900957e-02 9.993003632171919559e-01 4.519703745860979664e-03
1.643096700209415913e+09 2.137043151122820106e+01 -1.639597905801177902e+01 -1.245977021785652283e+02 -2.796339810743069323e-02 -2.628115986742364865e-02 9.992213641883553876e-01 2.736666215594616390e-03
1.643096700242749929e+09 2.135513673385721134e+01 -1.638979510658149508e+01 -1.245977021785652283e+02 -2.837647147048930757e-02 -2.781153916683045194e-02 9.991450175098107733e-01 8.161068935577318580e-04
1.643096700276082993e+09 2.133927526626360560e+01 -1.637444980707317654e+01 -1.245977021785652283e+02 -2.834199471184625091e-02 -2.947607519338433721e-02 9.990648295968234116e-01 -1.623657125110967081e-03
1.643096700309417009e+09 2.132240375832714818e+01 -1.637000586770525601e+01 -1.245977021785652283e+02 -2.851570635026938125e-02 -3.074861151458481087e-02 9.990129715590838622e-01 -3.452598267355116643e-03
1.643096700342749834e+09 2.130495466095603518e+01 -1.635604599297615991e+01 -1.245977021785652283e+02 -2.851779046671571935e-02 -3.198565377777666530e-02 9.989596725275733391e-01 -5.885973338737617890e-03
1.643096700376082897e+09 2.128708172483445082e+01 -1.635106055854370055e+01 -1.245977021785652283e+02 -2.872440976392831580e-02 -3.295178346484148313e-02 9.989094036718555447e-01 -8.221482206009702795e-03
1.643096700409415960e+09 2.126837818920046530e+01 -1.633517766718113862e+01 -1.245977021785652283e+02 -2.865086783745035906e-02 -3.399091067834088264e-02 9.988439581391913569e-01 -1.146688842042567838e-02
1.643096700442749977e+09 2.124858313810135257e+01 -1.632768626361164266e+01 -1.245977021785652283e+02 -2.853333439076260677e-02 -3.506314471149857281e-02 9.987774081542553084e-01 -1.470339101941411757e-02
1.643096700476083040e+09 2.122868704218339531e+01 -1.631437753104768973e+01 -1.245977021785652283e+02 -2.813288383590252170e-02 -3.599504269087638875e-02 9.987271778491971785e-01 -1.802407196355930094e-02
1.643096700509416819e+09 2.120718633485555316e+01 -1.631170359734921504e+01 -1.245977021785652283e+02 -2.775137837528467155e-02 -3.709768276150902933e-02 9.986770491826649776e-01 -2.088275469085085212e-02
1.643096700542749882e+09 2.118641657260400990e+01 -1.630197393345401125e+01 -1.245977021785652283e+02 -2.719358524279515826e-02 -3.828778500246576844e-02 9.986026021993883450e-01 -2.403545110935236678e-02
1.643096700576082945e+09 2.116494929848364492e+01 -1.630521744498526360e+01 -1.245977021785652283e+02 -2.691675604716570191e-02 -3.925219477963461795e-02 9.985810874310036001e-01 -2.634987774596745519e-02
1.643096700609416008e+09 2.114307786737871808e+01 -1.630210403503041050e+01 -1.245977021785652283e+02 -2.677809838887251770e-02 -4.022460886027780236e-02 9.985406713258691003e-01 -2.895071100418050714e-02
1.643096700642750025e+09 2.112160534249321842e+01 -1.630918147935173224e+01 -1.245977021785652283e+02 -2.689243047474950549e-02 -4.128207105189195258e-02 9.984651561342963166e-01 -3.132124511721766369e-02
1.643096700676082850e+09 2.110100893374650965e+01 -1.630866774035506950e+01 -1.245977021785652283e+02 -2.704382303667793308e-02 -4.266280098087801148e-02 9.983142019556444646e-01 -3.432156875812692604e-02
1.643096700709415913e+09 2.107977691806283360e+01 -1.631798284414054123e+01 -1.245977021785652283e+02 -2.730455516142647060e-02 -4.411878324763744003e-02 9.981599473868679739e-01 -3.706916670296268174e-02
1.643096700742749929e+09 2.105836468896906410e+01 -1.631918872319498348e+01 -1.245977021785652283e+02 -2.740163022953446756e-02 -4.586372590183203368e-02 9.979266339289729615e-01 -4.054255087897778997e-02
1.643096700776082993e+09 2.103751906426975893e+01 -1.632733348049076127e+01 -1.245977021785652283e+02 -2.731573109056584236e-02 -4.804079378136175832e-02 9.976077751461314147e-01 -4.441719285794681199e-02
1.643096700809417009e+09 2.101634318291791104e+01 -1.632603843246574726e+01 -1.245977021785652283e+02 -2.688621094559146690e-02 -5.077612677181244510e-02 9.971524765248483968e-01 -4.926364759743651067e-02
1.643096700842749834e+09 2.099429430893194848e+01 -1.633331326499922653e+01 -1.245977021785652283e+02 -2.648260950691835522e-02 -5.396919248932486451e-02 9.965996451786029997e-01 -5.424463382077871626e-02
1.643096700876082897e+09 2.097940467567455158e+01 -1.633938113300699158e+01 -1.245977021785652283e+02 -2.537713697049908540e-02 -5.798941531670946670e-02 9.960439701242175259e-01 -5.903982662715057811e-02
1.643096700909415960e+09 2.096044513790193520e+01 -1.634651622539471205e+01 -1.245977021785652283e+02 -2.433622988772683043e-02 -6.175315027078370766e-02 9.954528518446505991e-01 -6.386849315868960153e-02
1.643096700942749977e+09 2.094099669075582781e+01 -1.635485835709748059e+01 -1.245977021785652283e+02 -2.396118920686442569e-02 -6.491210881291095691e-02 9.948378807108136934e-01 -6.906059884766557744e-02
1.643096700976083040e+09 2.092354774018095043e+01 -1.636981006049944298e+01 -1.245977021785652283e+02 -2.402171314879388009e-02 -6.752766526052148000e-02 9.942152605816451105e-01 -7.430507179006642926e-02
1.643096701009416819e+09 2.090765383983938719e+01 -1.637449182647830526e+01 -1.245977021785652283e+02 -2.452035133439254416e-02 -6.944018578566617250e-02 9.935836379857991840e-01 -7.985537678254657490e-02
1.643096701042749882e+09 2.089317352704098241e+01 -1.638502509925827511e+01 -1.245977021785652283e+02 -2.514983219519926344e-02 -7.107194174678875542e-02 9.929899674203409576e-01 -8.518446361583340010e-02
1.643096701076082945e+09 2.087310965589846745e+01 -1.639643357383460653e+01 -1.245977021785652283e+02 -2.559544673421848549e-02 -7.255849720818104143e-02 9.924099058101457649e-01 -9.057770411813423350e-02
1.643096701109416008e+09 2.084607443087418943e+01 -1.641075401955760427e+01 -1.245977021785652283e+02 -2.624249240079307849e-02 -7.370488135411154551e-02 9.918103552901016418e-01 -9.599628533925552709e-02
1.643096701142750025e+09 2.081679167387298790e+01 -1.642592821243890100e+01 -1.245977021785652283e+02 -2.681010466242961243e-02 -7.456989749027567727e-02 9.912276089971558957e-01 -1.015813090245319267e-01
1.643096701176082850e+09 2.080194979781756004e+01 -1.643960142838699312e+01 -1.245977021785652283e+02 -2.773623757026313572e-02 -7.486206748474499850e-02 9.906380644125341028e-01 -1.072327056668637701e-01
1.643096701209415913e+09 2.079199949574293527e+01 -1.644092477648857908e+01 -1.245977021785652283e+02 -2.864596933840523815e-02 -7.475374770997043894e-02 9.900304576256008238e-01 -1.129922957187517174e-01
1.643096701242749929e+09 2.077406686237880962e+01 -1.644961652408253627e+01 -1.245977021785652283e+02 -2.993293158340027196e-02 -7.405215669388338917e-02 9.894921300565140410e-01 -1.180136461841924389e-01
1.643096701276082993e+09 2.075305855231059837e+01 -1.646365698718288328e+01 -1.245977021785652283e+02 -3.125528561275243283e-02 -7.282834341684743529e-02 9.890497160790089337e-01 -1.223394428179234161e-01
1.643096701309417009e+09 2.074298248417594692e+01 -1.648308720451863252e+01 -1.245977021785652283e+02 -3.261818242985368987e-02 -7.106576348367400764e-02 9.886903360753550585e-01 -1.259072531996591748e-01
1.643096701342749834e+09 2.073707922918212176e+01 -1.649140861468423935e+01 -1.245977021785652283e+02 -3.380899903517563254e-02 -6.917690391998468358e-02 9.883510229744986164e-01 -1.296101196503414155e-01
1.643096701376082897e+09 2.072354472940502390e+01 -1.650633264111316478e+01 -1.245977021785652283e+02 -3.538370024405839559e-02 -6.689693241767619147e-02 9.880863078371298069e-01 -1.326407112765182750e-01
1.643096701409415960e+09 2.070642289654055190e+01 -1.652645587994450693e+01 -1.245977021785652283e+02 -3.700365920299870937e-02 -6.431402940985707362e-02 9.879309716125855845e-01 -1.350430313852726549e-01
1.643096701442749977e+09 2.069961688939183730e+01 -1.655248718032259347e+01 -1.245977021785652283e+02 -3.833212767697777301e-02 -6.181391019559644151e-02 9.878745946591285243e-01 -1.365448388098026156e-01
