#timestamp tx ty tz qx qy qz  qw
1.643042027770059824e+09 -1.129774294910150134e+00 3.665206625406888241e-01 -8.478314444418181495e+01 -2.883213912620796469e-05 -1.462262526636900247e-04 -8.563701690726827900e-04 9.999992267506757626e-01
1.643042027803392887e+09 -1.133005932555290807e+00 3.696645566828488105e-01 -8.478314444418181495e+01 -1.243140513820811420e-04 -4.478336128284194869e-05 -7.471757717380038931e-04 9.999992428562615165e-01
1.643042027836725950e+09 -1.135871224975163463e+00 3.726074923632213265e-01 -8.478314444418181495e+01 -2.353760643972127998e-04 2.421597209585198639e-05 -6.802958342346493827e-04 9.999992461421115530e-01
1.643042027870059967e+09 -1.138361536617414016e+00 3.753441229406062618e-01 -8.478314444418181495e+01 -3.604945466521430886e-04 6.366425027051286984e-05 -6.551098573458345904e-04 9.999992145001149746e-01
1.643042027903393030e+09 -1.140468231929688159e+00 3.778691017738036173e-01 -8.478314444418181495e+01 -4.981458666274120534e-04 7.645397603926179096e-05 -6.709973418547745226e-04 9.999991258221603285e-01
1.643042027936725855e+09 -1.142182675359631583e+00 3.801770822216134493e-01 -8.478314444418181495e+01 -6.468063928035597395e-04 6.547765220021983909e-05 -7.273377885446845109e-04 9.999989580001368283e-01
1.643042027970059872e+09 -1.143496231354889536e+00 3.822627176428357032e-01 -8.478314444418181495e+01 -8.049524936611263549e-04 3.362778155150818486e-05 -8.235106981987795616e-04 9.999986889259331324e-01
1.643042028003392935e+09 -1.144400264363108155e+00 3.841206613962704353e-01 -8.478314444418181495e+01 -9.710605376806521073e-04 -1.620313310875224505e-05 -9.588955716002751147e-04 9.999982964914382322e-01
1.643042028036725998e+09 -1.144886138831933131e+00 3.857455668407175353e-01 -8.478314444418182916e+01 -1.143606893342677096e-03 -8.112258898244025288e-05 -1.132871909532386177e-03 9.999977585885408971e-01
1.643042028070060015e+09 -1.144945219209009712e+00 3.871320873349770042e-01 -8.478314444418182916e+01 -1.321067929127741096e-03 -1.582380832714349120e-04 -1.344819212778328079e-03 9.999970531091301185e-01
1.643042028103392839e+09 -1.144568869941983813e+00 3.882748762378488983e-01 -8.478314444418182916e+01 -1.501920013516384747e-03 -2.446571131776147535e-04 -1.594116982121315720e-03 9.999961579450947768e-01
1.643042028136725903e+09 -1.143748455478501125e+00 3.891685869081332183e-01 -8.478314444418182916e+01 -1.684639514989147392e-03 -3.374871759028593658e-04 -1.880144718344564647e-03 9.999950509883237526e-01
1.643042028170059919e+09 -1.142475340266207118e+00 3.898078727046298542e-01 -8.478314444418182916e+01 -1.867702802026569887e-03 -4.338357686490469005e-04 -2.202281922231289976e-03 9.999937101307059262e-01
1.643042028203392982e+09 -1.140740888752747928e+00 3.901873869861388622e-01 -8.478314444418182916e+01 -2.049586243109191575e-03 -5.308103886180566208e-04 -2.559908094564705954e-03 9.999921132641300670e-01
1.643042028236725807e+09 -1.138536465385768581e+00 3.903017831114602432e-01 -8.478314444418182916e+01 -2.228766206717553312e-03 -6.255185330117674644e-04 -2.952402736128029431e-03 9.999902382804851664e-01
1.643042028270059824e+09 -1.135853434612888346e+00 3.901457144393846721e-01 -8.478314444417982543e+01 -2.403719061332138494e-03 -7.150676990320421061e-04 -3.379145347704395723e-03 9.999880630716367902e-01
1.643042028303392887e+09 -1.133065090681812714e+00 3.915526575477017990e-01 -8.478314444417982543e+01 -2.517601731517308053e-03 -7.474846141464732341e-04 -3.993444087895347758e-03 9.999835494712000505e-01
1.643042028336725950e+09 -1.130793801214833749e+00 3.887999872345104246e-01 -8.478314444417982543e+01 -2.670321121038891389e-03 -6.994252451888210076e-04 -4.431176647734836466e-03 9.999812445484350665e-01
1.643042028370059967e+09 -1.127423592802871744e+00 3.894869295973480972e-01 -8.478314444417982543e+01 -2.802729951523074206e-03 -7.901956429417475230e-04 -5.129404801682679177e-03 9.999760176955040381e-01
1.643042028403393030e+09 -1.122895157352711726e+00 3.861960421248445408e-01 -8.478314444417982543e+01 -2.931595741521354249e-03 -7.863256151432258985e-04 -5.677432911182413861e-03 9.999723970502067960e-01
1.643042028436725855e+09 -1.117588057853990735e+00 3.860761398603425043e-01 -8.478314444417982543e+01 -3.076974184877228659e-03 -8.319791323502375921e-04 -6.432093088061799011e-03 9.999665453935353554e-01
1.643042028470059872e+09 -1.111606306747250139e+00 3.798540010760858010e-01 -8.478314444417982543e+01 -3.221886919698205374e-03 -7.655166184570281508e-04 -6.882255231887565022e-03 9.999632732737879781e-01
1.643042028503392935e+09 -1.103760449345174921e+00 3.803502739672393052e-01 -8.478314444417982543e+01 -3.279405755659110366e-03 -8.160212665073447291e-04 -7.762112167026712604e-03 9.999566162095162580e-01
1.643042028536725998e+09 -1.095755195619432021e+00 3.743711744403741548e-01 -8.478314444417982543e+01 -3.407490973329184176e-03 -7.366282575415787973e-04 -8.329771175841034145e-03 9.999518397883044862e-01
