#timestamp tx ty tz qx qy qz  qw
1.643117007249505043e+09 5.491371225636709141e+01 -1.903791165757422377e+01 -8.469327036172109047e+01 -5.462077240476845980e-03 -3.258663110888724602e-03 -1.340199525995648113e-03 1.000062563889290601e+00
1.643117007282837868e+09 5.491327353611303153e+01 -1.903212226400980001e+01 -8.469327036172109047e+01 -4.005156565476143508e-03 -1.943439667009949374e-03 -1.067027425242993936e-03 1.000050992346844581e+00
1.643117007316170931e+09 5.491284542439401406e+01 -1.902723721491837594e+01 -8.469327036172109047e+01 -2.366199616952666292e-03 -6.756823218096578466e-04 -7.474943750410784028e-04 1.000034282199160574e+00
1.643117007349504948e+09 5.491249460250008951e+01 -1.902318967264777072e+01 -8.469327036172109047e+01 -5.734587016304323534e-04 5.414249837097833210e-04 -3.895045158740809100e-04 1.000013080340153238e+00
1.643117007382838011e+09 5.491228775172131549e+01 -1.901991279954579994e+01 -8.469327036172109047e+01 1.344813873766538548e-03 1.704698308546006603e-03 -9.619882261815027730e-07 9.999880336637377853e-01
1.643117007416170835e+09 5.491229155334772827e+01 -1.901733975796027920e+01 -8.469327036172109047e+01 3.360365802514227521e-03 2.810953711696646644e-03 4.102290674184402072e-04 9.999597890638289854e-01
1.643117007449504852e+09 5.491257268866939256e+01 -1.901540371023903120e+01 -8.469327036172109047e+01 5.444944777888616541e-03 3.857007252159335049e-03 8.361645105756040659e-04 9.999289934343419395e-01
1.643117007482837915e+09 5.491319783897634466e+01 -1.901403781872987153e+01 -8.469327036172109047e+01 7.570298493165684983e-03 4.839674988931706896e-03 1.268940200761130245e-03 9.998962936691916381e-01
1.643117007516170979e+09 5.491423368555863505e+01 -1.901317524578061935e+01 -8.469327036172109047e+01 9.708174641621413956e-03 5.755772981011392057e-03 1.700651997490838915e-03 9.998623366622930719e-01
1.643117007549504995e+09 5.491574690970632844e+01 -1.901274915373908669e+01 -8.469327036172110468e+01 1.183032091653178630e-02 6.602117287396027344e-03 2.123395760280550465e-03 9.998277693075612316e-01
1.643117007582837820e+09 5.491780419270946112e+01 -1.901269270495309982e+01 -8.469327036172110468e+01 1.390848501117278313e-02 7.375523967083244363e-03 2.529267348646084199e-03 9.997932384989111076e-01
1.643117007616170883e+09 5.492047221585808359e+01 -1.901293906177047077e+01 -8.469327036172110468e+01 1.591441461882037861e-02 8.072809079070677324e-03 2.910362622103260938e-03 9.997593911302575798e-01
1.643117007649504900e+09 5.492381766044225344e+01 -1.901342138653901870e+01 -8.469327036172110468e+01 1.781985743275056600e-02 8.690788682355957834e-03 3.258777440167901288e-03 9.997268740955157496e-01
1.643117007682837963e+09 5.492790720775200697e+01 -1.901407284160656630e+01 -8.469327036172110468e+01 1.959656114623931772e-02 9.226278835936716632e-03 3.566607662355825853e-03 9.996963342886004966e-01
1.643117007716171026e+09 5.493280753907740888e+01 -1.901482658932092207e+01 -8.469327036172111889e+01 2.121627345256261316e-02 9.676095598810594001e-03 3.825949148182853504e-03 9.996684186034269226e-01
1.643117007749505043e+09 5.493858533570721647e+01 -1.901561579202946461e+01 -8.469327036171912937e+01 2.265074204499591126e-02 1.003705502997498215e-02 4.028897757164711171e-03 9.996437739338864814e-01
1.643117007782837868e+09 5.494527155804041030e+01 -1.901449943577561896e+01 -8.469327036171912937e+01 2.349766265639903484e-02 1.010486538719564814e-02 4.100940904042070338e-03 9.996351610037437219e-01
1.643117007816170931e+09 5.495269179828616046e+01 -1.901635146164668200e+01 -8.469327036171912937e+01 2.402152506977222463e-02 1.013727743010690158e-02 4.232743516812901251e-03 9.996324386874022583e-01
1.643117007849504948e+09 5.496181634263444238e+01 -1.901374631229873557e+01 -8.469327036171912937e+01 2.421466683054748770e-02 9.870227324560318372e-03 4.080550577332064596e-03 9.996351649966458419e-01
1.643117007882838011e+09 5.497262728537985765e+01 -1.901747577266638345e+01 -8.469327036171912937e+01 2.411258247398066767e-02 9.656104839465372638e-03 4.165410665683842717e-03 9.996434324773910696e-01
