#timestamp tx ty tz qx qy qz  qw
1.643117007249505043e+09 5.495093696832281438e+01 -1.906311840678439751e+01 -8.470641437282276343e+01 -1.569181712526007966e-01 9.006887386825182876e-03 5.089249491405272163e-01 1.846710871153367739e+00
1.643117007282837868e+09 5.495098357387616517e+01 -1.906616502678505043e+01 -8.470517543923284620e+01 -1.554548105204942576e-01 8.248478478088606958e-03 5.103715208409657089e-01 1.846691767532685491e+00
1.643117007316170931e+09 5.495110279464253011e+01 -1.906880689895776371e+01 -8.470423119357263886e+01 -1.538127063545507156e-01 7.514136215078138711e-03 5.117543756048363868e-01 1.846667565374900732e+00
1.643117007349504948e+09 5.495127385750338078e+01 -1.907100037691812489e+01 -8.470354915122696582e+01 -1.520200792957647484e-01 6.807597056324908580e-03 5.130711330900239453e-01 1.846638964610188394e+00
1.643117007382838011e+09 5.495147598934016742e+01 -1.907270181428172506e+01 -8.470309682758070835e+01 -1.501051498851309618e-01 6.132597460360048741e-03 5.143194129544128579e-01 1.846606665168723405e+00
1.643117007416170835e+09 5.495168841703436158e+01 -1.907386756466416244e+01 -8.470284173801867666e+01 -1.480961386636439892e-01 5.492873885714689638e-03 5.154968348558878199e-01 1.846571366980680251e+00
1.643117007449504852e+09 5.495189036746742062e+01 -1.907445398168102102e+01 -8.470275139792575203e+01 -1.460212661722984084e-01 4.892162790919965185e-03 5.166010184523331938e-01 1.846533769976234085e+00
1.643117007482837915e+09 5.495206106752080899e+01 -1.907441741894789544e+01 -8.470279332268675887e+01 -1.439087529520887976e-01 4.334200634507004955e-03 5.176295834016336750e-01 1.846494574085559393e+00
1.643117007516170979e+09 5.495217974407599826e+01 -1.907371423008038036e+01 -8.470293502768653582e+01 -1.417868195440098178e-01 3.822723875006941996e-03 5.185801493616737368e-01 1.846454479238831103e+00
1.643117007549504995e+09 5.495222562401444577e+01 -1.907230076869406332e+01 -8.470314402830994993e+01 -1.396836864890560470e-01 3.361468970950907617e-03 5.194503359903379636e-01 1.846414185366224148e+00
1.643117007582837820e+09 5.495217793421760888e+01 -1.907013338840453542e+01 -8.470338783994183984e+01 -1.376275743282220909e-01 2.954172380870033129e-03 5.202377629455110508e-01 1.846374392397913233e+00
